gesture_index,gesture_name,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7
0,stop,128.3,304.0,131.6,368.4,388.6,351.6,362.4
0,stop,128.3,304.3,131.6,368.4,388.7,351.6,362.4
0,stop,128.0,303.9,131.4,368.2,388.3,351.2,362.0
0,stop,128.5,304.5,131.8,368.9,388.9,352.1,362.4
0,stop,128.5,304.3,131.7,368.8,388.6,351.6,362.2
0,stop,128.3,304.2,131.7,368.7,388.3,351.3,362.0
0,stop,128.2,303.9,131.7,368.2,388.8,351.2,361.9
0,stop,128.2,304.1,131.5,368.5,388.5,351.2,361.8
0,stop,128.4,304.2,131.8,368.9,388.9,351.8,362.4
0,stop,128.3,304.1,131.5,368.6,388.5,351.6,361.7
0,stop,128.3,304.1,131.7,369.1,388.5,351.4,362.0
0,stop,128.2,304.2,131.5,368.6,388.9,351.4,362.3
0,stop,128.4,304.3,131.7,368.5,389.0,351.6,362.0
0,stop,128.3,304.0,131.5,368.5,388.1,351.2,361.4
0,stop,128.2,304.3,131.5,368.4,388.4,351.5,361.9
0,stop,128.2,304.2,131.6,368.3,388.4,351.5,361.6
0,stop,128.2,304.2,131.6,368.4,388.5,351.5,361.9
0,stop,128.4,304.4,131.8,368.6,388.9,351.7,361.9
0,stop,128.5,304.4,131.5,367.9,388.4,351.5,361.5
0,stop,128.5,304.3,131.8,368.7,388.9,351.6,362.2
0,stop,128.3,304.3,131.7,368.6,388.4,351.6,362.2
0,stop,128.2,304.3,131.4,368.6,388.1,351.1,361.7
0,stop,128.3,303.7,131.7,368.1,388.2,351.3,361.5
0,stop,128.4,303.7,131.5,367.8,387.9,350.9,361.2
0,stop,128.4,304.2,131.6,368.6,388.2,351.4,361.8
0,stop,128.4,304.2,131.6,368.8,388.2,351.8,361.8
0,stop,128.2,304.1,131.7,368.4,388.6,351.8,361.9
0,stop,128.3,304.2,131.7,368.5,388.4,351.7,362.0
0,stop,128.2,303.8,131.6,368.0,388.0,351.3,361.5
0,stop,128.6,304.7,131.9,368.9,388.8,351.5,361.9
0,stop,128.4,304.2,131.8,367.9,388.5,351.6,362.3
0,stop,128.3,304.2,131.6,367.9,388.7,351.6,362.0
0,stop,128.2,303.8,131.6,368.1,388.1,351.1,361.2
0,stop,128.5,304.1,131.8,368.3,388.6,351.9,362.1
0,stop,128.3,304.3,131.7,368.6,389.0,351.6,361.6
0,stop,128.2,303.7,131.5,367.8,388.1,351.0,361.6
0,stop,128.5,304.3,131.7,368.5,388.2,351.7,361.9
0,stop,128.4,304.3,131.8,368.7,389.0,351.5,362.2
0,stop,128.1,304.0,131.6,368.2,388.3,351.6,361.5
0,stop,128.2,304.1,131.7,368.6,388.5,351.3,361.7
0,stop,128.3,304.6,131.6,368.9,389.2,352.0,362.2
0,stop,128.4,304.4,131.7,368.2,388.4,351.8,362.1
0,stop,128.3,303.9,131.8,368.6,389.0,351.5,362.0
0,stop,128.3,303.7,131.7,368.3,388.3,351.4,361.7
0,stop,128.2,304.6,131.8,368.5,388.4,351.7,362.1
0,stop,128.5,304.6,131.8,368.5,389.0,351.8,361.7
0,stop,128.3,304.0,131.7,368.5,388.6,351.7,362.3
0,stop,128.4,304.2,131.8,368.3,388.3,351.5,361.7
0,stop,128.3,304.2,131.6,367.9,388.4,351.2,361.4
0,stop,128.1,303.8,131.5,368.3,388.2,351.3,361.5
0,stop,128.3,304.3,131.6,368.6,388.7,351.6,361.8
0,stop,128.1,304.1,131.6,367.9,388.8,351.3,361.5
0,stop,128.3,303.8,131.5,368.1,388.1,351.0,361.1
0,stop,128.2,304.1,131.6,368.0,388.0,351.3,361.0
0,stop,128.2,304.3,131.7,368.6,388.7,351.6,361.9
0,stop,128.4,304.3,131.8,368.5,388.5,351.5,361.6
0,stop,128.3,304.2,131.7,368.3,388.6,351.7,361.6
0,stop,128.3,303.9,131.8,368.3,388.2,351.6,361.5
0,stop,128.0,303.8,131.4,368.0,388.2,351.2,361.3
0,stop,128.5,304.1,131.6,368.4,388.3,351.2,361.8
0,stop,128.2,304.0,131.7,368.3,388.1,351.2,361.6
0,stop,128.4,303.8,131.5,368.1,388.3,351.2,361.5
0,stop,128.2,303.8,131.6,368.2,388.1,351.1,361.1
0,stop,128.3,303.8,131.7,368.3,388.3,351.2,361.2
0,stop,128.3,304.0,131.4,368.0,388.1,351.1,360.8
0,stop,128.3,303.9,131.7,368.3,388.0,351.4,361.4
0,stop,128.1,303.8,131.6,368.3,388.5,351.2,361.0
0,stop,128.4,304.0,131.8,368.1,387.9,350.8,361.6
0,stop,128.4,304.0,131.7,368.6,388.8,352.0,361.4
0,stop,128.2,304.1,131.7,367.9,388.1,351.6,361.6
0,stop,128.4,304.2,131.8,368.5,388.5,351.7,361.7
0,stop,128.2,303.7,131.5,368.0,388.3,351.4,361.0
0,stop,128.4,304.2,131.9,368.5,388.5,351.2,361.4
0,stop,128.3,304.0,131.6,368.0,388.0,351.1,361.5
0,stop,128.3,304.1,131.9,368.4,388.2,351.7,361.7
0,stop,128.4,303.9,131.5,368.4,388.7,351.3,361.8
0,stop,128.1,304.1,131.5,368.1,388.2,350.8,361.2
0,stop,128.4,304.2,131.9,368.5,388.5,351.6,361.6
0,stop,128.4,303.8,131.6,368.4,388.9,351.5,361.5
0,stop,128.2,303.9,131.7,368.2,388.0,351.0,360.9
0,stop,128.3,303.7,131.6,368.6,388.5,351.1,361.6
0,stop,128.3,303.8,131.8,368.3,388.6,351.6,361.6
0,stop,128.3,304.3,131.9,368.2,388.3,351.3,361.3
0,stop,128.4,304.0,131.7,368.6,388.8,351.4,361.4
0,stop,128.6,304.3,132.0,368.3,388.9,351.8,361.9
0,stop,128.3,303.6,131.6,367.8,388.0,351.0,361.1
0,stop,128.4,304.4,131.9,368.8,388.3,351.6,361.8
0,stop,128.2,304.0,131.4,367.7,388.0,350.7,361.0
0,stop,128.3,303.5,131.6,368.0,388.2,350.9,361.0
0,stop,128.3,303.7,131.5,368.0,388.2,351.3,361.0
0,stop,128.4,304.1,131.7,368.2,388.0,351.2,361.4
0,stop,128.3,303.9,131.7,367.9,388.2,351.2,361.1
0,stop,128.1,304.2,131.7,367.6,388.1,351.3,361.3
0,stop,128.3,304.0,131.5,368.0,388.1,351.3,361.0
0,stop,128.3,304.3,131.7,367.9,388.3,351.4,361.4
0,stop,128.3,304.0,131.5,368.1,388.8,351.7,361.2
0,stop,128.5,304.2,131.6,368.5,388.3,351.3,361.3
0,stop,128.2,304.0,131.7,368.2,388.4,351.3,361.4
0,stop,128.3,304.0,131.6,368.5,388.6,351.6,361.3
